,Comments
41,"The Whimsical Byzantine
3 days ago
Excellent commentary.  I enjoyed the 'neutral' perception made of historical connections.  I am half-Slavic, an american in the US.  Thank you
14
REPLY"
42,"Hi
3 days ago
""He doesn't realize, the world has moved on"" What a great way to end this very elaborate yet concise explanation. Good job!
21
REPLY"
43,"Datu Punyeta
2 days ago
Wow! This is textbook journalism at its finest. I am extremely impressed. Great job Palki!
1
REPLY"
44,"Deshon Dixon
3 days ago
Wow. That was an amazing report. Right to the point. Concise. Unbiased. Just FACTS. Wish every media outlet was like this. ""You decide."" Mike drop.
123
REPLY"
45,"Kevvinn Mashruwala
3 days ago
20 million views in 8 days on news Channel.... THATS CRAZY.. 
CONGRATULATIONS WION TEAM & PALKI MAM GREAT SPEECH AND CONTENT ....
2
REPLY"
46,"Solola
8 days ago
As a Ukrainian, I`m in awe! What a profound, relevant, and accurate report. Cudos to Mrs.Palki and a whole team of WION
2.2K
REPLY"
47,"Chetan Sindhe
1 day ago
Your last statement is very TRUE to itself ""THE WORLD HAS MOVED ON"". Russia must understand this. This was a very good explanation. Thankyou.
2
REPLY"
48,"Rick Believes
3 days ago
Love how she goes quickly and puts out lot of great info. I am afraid NATO will abandon Ukraine to avoid dealing with Putin.
3
REPLY"
49,"Aaliyah S
2 hours ago
I've never seen such an eloquent, beautiful and well informed presenter. This is a very concise, to the point and throughout presentation of the crisis! This is real journalism 🙌 I will be following this channel closely from now on
REPLY"
50,"Blue Moon
3 days ago
That was outstanding on so many levels. I’m 25% Eastern European living in Germany and you managed to produce the most informative broadcast I have seen. This should be played on the National News in every country! Bravo 👏👏👏
55
REPLY"
51,"Lifelong Bachelor
1 day ago
simplistic, to a point.  in the modern day, why would russia want a (potentially armed ) western power at its border (think cuban missile crisis), while also potentially controlling export of its resources and infrastructure...
3
REPLY"
52,"spectralnighttravel
8 days ago
As an American, I'll say you're so much more informative and historically versed than anything we have here. Bless you for being a news source.
1.3K
REPLY"
53,"Alugien Hermoso
3 days ago
Did amazing job .we need more from your side to keep us updated with the right knowledge and accurate facts and figures .I love the way you explains .
2
REPLY"
54,"Aine McNulty
3 days ago
As American, I love your show. This is by far the best explanation of the facts that I have seen.
24
REPLY"
55,"Lewy Sav
19 hours ago
Would be nice to have this high level of journalism here in Australia so i don't have to search overseas to find what's really happening in the world.
1
REPLY"
56,"Marianne Heinze
3 days ago
I have recommended this video to everyone one I know.  Phenomenal explanation!  So well done.
1
REPLY"
57,"Donovan Wint
1 day ago
This is a very accurate  and informative analysis of the Russian Ukrainian culture, and conflicts.
1
REPLY"
58,"Miguel Verschueren
10 days ago (edited)
Outstanding report: interesting, no-nonsense, straightforward and objective. With this kinda news there would be already less discussions. It should be always like that. Thank you👌👏
2.2K
REPLY"
59,"Jimmy Money
3 days ago
This channel is usually very informative and yes this is a report with a certain amount of facts and information but unfortunately missing/lacking a lot of other very important info/facts and without them influences this report in creating a particular bias direction.
2
REPLY"
60,"Cinzia M
8 days ago (edited)
""Past imperialism cannot justify present-day expansionism"". Well said. This is the 1st and best overview, thank you!
2.3K
REPLY"
61,"shishi-odoshi
2 days ago
How clear and concise.  This is by far the best & simplest explanation I’ve seen/heard.  Well done! 👏
REPLY"
62,"macedonga
3 days ago
""Putin does not realize, the world has moved on.""   Perfectly stated!   Having spent the past multiple years trying to divide the world, he has ultimately shown we all want the same thing, peace.  No man, woman or child grows up wanting to be part of war.
49
REPLY"
63,"Chimudima Mctheison
1 hour ago
so enlightening... a good insight on the Historical backgrounds of these 2 nations
1
REPLY"
64,"*shAnnOn*
2 days ago
Everyone is asking...why is Putin invading Ukraine...and now we understand why...this was a great history lesson...that I will encourage others to watch.
1
REPLY"
65,"JP Blitz
2 days ago
Superb, well researched, concise explanation. Well done! Please keep up the good work!
REPLY"
66,"Mandalorian Exile
8 days ago
""Past imperialism cannot justify present-day expansionism."" 

Well said. I won't be forgetting this one.
556
REPLY"
67,"Genesis Marketing
3 days ago
The report is excellent and briefly described every part of the conflict between the two countries. Thanks.
12
REPLY"
68,"Gabriel Booyse
7 hours ago
Question: Why does Ukraine want to join NATO, is it only now or did they want to join before the invasion? Second question: Why did NATO break their agreement of not expanding passed Germany and, during that time, was Russia not more than patient in allowing such eastward expansion? I find all of this super interesting and am not taking sides, just want to understand.
1
REPLY"
69,"T Nator
2 days ago
Awesome podcast! I learned a lot from this clip. Good information not found from other podcasts.🖒
1
REPLY"
70,"Lady Denegri
1 day ago
This is a great introduction to wider geopolitcal lecture. It requires a lot more time. Congrats on this work .
12
REPLY"
71,"Zoe 🔥𝐆𝐨 𝐓𝐨 𝐌𝐲 𝐂𝐡𝐚𝐧𝐧𝐞𝐥 [𝐋!𝐯𝐞]
1 day ago
Wow. That was an amazing report. Right to the point. Concise. Unbiased. Just FACTS. Wish every media outlet was like this. ""You decide."" Mike drop.
1
REPLY"
72,"Ricky Maiola
8 days ago
To be honest, I was pretty confused about the conflict. I had zero knowledge of any of this history.  So, Thank you for the amazing video, explanation and information. Thank you to everyone in the comments verifying this. Peace to Ukraine.
2.9K
REPLY"
73,"Moses
1 day ago
It's truly amazing how clear and concise information about a complex situation becomes when delivered honestly and intelligently without European biases. Thank You Palki Sharma.
7
REPLY"
74,"Jason Toddlives
3 days ago
Thank you for a clear understanding of its history and how it relates to today's situation
1
REPLY"
75,"Max Weisenstein
3 days ago
Makes me thankful to live in the USA.  While things arent perfect here, we dont have to worry about which government will control us tomorrow, or the constant threat of being overrun by our neighbor. Sure we fight amongst ourselves over conservative and liberal ideologies, but nothing to this level.  We worry about the nature of our government, but it will always be the same government.  While big money and corporations can control us to a certain extent,  we still have our human rights.   
Read more
1
REPLY"
76,"ElectricalNoises
2 days ago
Feels like this is what all journalism should be like. Actually informative. Thank you.
29
REPLY"
77,"Natukunda Glorious Rose
3 days ago
Wow...👏👏👏👏 you've summarized it so well. You are the best in your field. I've been trying so much to find out the cause of the conflict. The world has moved on and we can't be defined by the past.
1
REPLY"
78,"Natalia P
7 days ago
As a Ukrainian I thank you for your unbiased report. The world definitely needs more of those.
1.6K
REPLY"
79,"Posh Dash
3 days ago
great video providing facts and objective and historical view. This is what we need in media - true journalism
1
REPLY"
80,"Sebastian Deyzel
8 days ago
This is absolutely refreshing to hear a journalist reporting and giving a detailed background to the story. Absolutely professional 110%. Thank you
1.1K
REPLY"
81,"Joanna B
2 days ago
Wow...that was a very thorough and clear explanation!  No mincing of words or going on a tangent, which is a rare thing on you tube these days.  Now I know the history, which will make it easier to understand things that develop in the future when I watch the news.  Thanks for this!
2
REPLY"
82,"a n i t a
19 hours ago
I really like her style of journalism. I’ll definitely be subscribing for the world news from now on.👏🏽👏🏽
REPLY"
83,"Jacob Williamson
2 days ago
You did a great job breaking down the history of the two countries.
REPLY"
84,"Miss_ America864
3 days ago
This reporter is my favorite on wion. She's so intelligent & well spoken. I appreciate how she explained this situation. Prayers for Ukraine
11
REPLY"
85,"vinod rao
2 days ago
Thank you so much for explaining so clearly. If we can tune in to your channel we would be more educated in current affairs
1
REPLY"
86,"Shishir Mishra
4 days ago
Thanks for explaining this in 9 mins. Crisp and clear. If it would have mainstream Indian media , they would have created 9 prime time shows with 9 debators
36
REPLY"
87,"Boring Wheels Group
3 days ago
This explanation should be delivered worldwide for everyone to understand. Thank you
5
REPLY"
88,"El Cor
2 days ago
Thank you I love how u simply explained everything with facts. My support to Ukraine 🇺🇦 .
REPLY"
89,"Lalchhanhimi Chhanhimi
2 days ago
Thank you so much, so informative. It hurts me to see people fleeing, dying of no fault of theirs.
I hate Putin for causing so much pain, trauma and crisis , so much loss of lives which he cannot give back.
I pray for the people of Ukrain 🙏🏻
REPLY"
90,"Ahmed Ismail
3 days ago
Finally , someone answered almost all my most important questions about the shared history of RUSSIA AND UKRAINE in 9minutes and  I m educated about the reason of  their  war now . Thank u Palki Sharma
8
REPLY"
91,"Samkelo Nhlengethwa
23 hours ago
The only incorrect statement you put out was comparing what is happening to Ukraine to how Britain can take over South Africa and India. This is incorrect! These were colonies of England, not a Part of England, but Ukraine used to be a Part of Russia not a colony. Big difference.
2
REPLY"
92,"Jarsky
8 days ago
Honestly, this was amazingly informative. I felt like I just learnt hours worth of research about this conflict, in less than 10 minutes. Thank you!
454
REPLY"
93,"Ju Manggu
12 hours ago
This is a rare video deserves to be shared in every social media account. Clear explanation and direct to the point.
REPLY"
94,"veeka p
1 day ago
The best report I've ever heard!Thank you, great job! With love from a Russian-Ukrainian descendant.
2
REPLY"
95,"Andrew Alexander
2 days ago
Ukraine may want to be independent of Russia but it's highly dependant on the US. ideally, they should be like a Switzerland but they're enamoured by militancy. Surrendering could save lives which is more important than massaging your ego and boasting of arms.
3
REPLY"
96,"Manojit Kumar Dutta
2 days ago
Besides everything else, I would like to appreciate Palki Sharma Upadhyay for her great fluency and presentation. It is as best as it can get. Proud of you.
REPLY"
97,"Paul Ansell
3 days ago
Excellent explanation, clear, concise and accurate. Thank you Palki Sharma.
REPLY"
98,"The Jone
6 days ago
I learned more about this conflict in 10 minutes than I have by watching hours of news coverage, thank you.
2.1K
REPLY"
99,"J.D. SAGE
11 hours ago
Excellent explanation and historical summary of the present conflict in Ukraine.
REPLY"
100,"Olivier Damiron
7 days ago
The way news SHOULD be. Proper summary, to the point, factual, non partisan. Palki you are my hero.
1.8K
REPLY"
101,"Tanmay Watve
3 days ago
Such a comprehensive and crisp report! Well done 👍 I’ll be on lookout for more from this channel
REPLY"
102,"sun sun
1 day ago
very good insight and summary, again a lot of history is hidden between these 2 countries we don't know.
1
REPLY"
103,"bowen voowy
3 days ago
Short and simple but well explained. This is so incredible! Now I understand. Ill share this. Thank you very much.
19
REPLY"
104,"Harry Fem
3 days ago
Wow, thank you so much for defining and demonstrating the true meaning of journalism. Not many TV stations tell you what's really going on, they are very good at reporting about casualties but not the genesis of the problem. Thank you ever so much for your time, it was a great insight 👍
7
REPLY"
105,"Fred Whitten
2 days ago
What a great historical explanation of our world in ruins thank you and well done!!
REPLY"
106,"Gabrielle Bernardi
7 days ago
How refreshing to hear a report like this, with history and explanation, instead of the rubbish the American media feeds us daily, thank you
539
REPLY"
107,"G DuCharme
1 day ago
Wow! This is the best reporting on any topic I have seen in decades. Not taking sides; clear and precise explanation.
REPLY"
108,"Ann O'Grady
1 day ago
My heart is broken watching Ukrainia having to fight for their freedom without ground military support from NATO..  I know the threat of WW3 looms over us.  
I pray every day to God for Ukraine people to stay strong and united on the ground and  hope you can  cut the head off the poisonous snake that has entered into YOUR country.  I pray you will survive and regain Peace and Freedom again soon.    🇨🇦🇺🇦
Read more
1
REPLY"
109,"David Walker
2 days ago
Reporter said: ""Putin wants to be the man who revived the Russia imperialism he does not realise the world has moved on..""
4
REPLY"
110,"jenna :D
2 days ago
thank you so much for this. i understand so much better now, when usually it's hard for me to understand current issues due to my lack of historical knowledge
REPLY"
111,"GENESIS BACULBAS
1 day ago
WOW! JUST WATCHING THIS VIDEO GAVE ME A LOT OF VALUABLE INFORMATION ABOUT WHAT IS HAPPENING WITH THE CURRENT WAR! THANK YOU FOR THIS!
1
REPLY"
112,"Christopher Medina
8 days ago
This was an amazing lesson in history.  I learned so much in what would have probably taken weeks of lessons in a university.  Thank you!
258
REPLY"
113,"Chris Vassiliou
2 days ago
Thank you for explaining the situation in your own biased way. I could not imagine a worse parallel about colonialism Between Russia and Ukraine and Gr Britain  and India . Russia and Ukraine they are almost like two statutes carved from the same rock  and next to each other, same race same religion . Britain and India are thousand miles apart different religion completely different way of life .
7
REPLY"
114,"J IsMyName
1 day ago
Very good and understandable explanation of the situation. Thank you for the video 👍👍
REPLY"
115,"Ahtesham Syed
2 days ago
Thank you for the informative video, it's been long hearing sensible news by a sensible channel, editor and news reader...other news channels looks like battle fields and anchor shouts very weird. 
It really took a second for me to subscribe your channel!! 
Praying things get back to place soon in Ukraine..and all foreigners get back safely to their place..
2
REPLY"
116,"Tra'C
2 days ago
One thing I appreciate most about this channel is their clarity in reporting.
REPLY"
117,"Elise Cooper
2 days ago
My questions are no more, thank you for explaining the reasons why this war was started.
REPLY"
118,"Clare L
8 days ago
This lady is one of the best reporters currently. I wish we had someone of her standard in Australia.
473
REPLY"
119,"trubrahbull
3 days ago
Everything that you report on is so informative! Thank you, so much!
REPLY"
120,"Anuj Verma
8 days ago
Wow! Just wow! What a report. No judgements. Simple reporting of facts. The amount of depth, analysis and sheer analytics you brought make this a piece of art. This is research-level work. Hats off, Palki and the entire team.
635
REPLY"
121,"Toby Ihli
2 days ago (edited)
That was a pretty unbiased explanation. One thing I think is important is that a gigantic oil and gas reserve has been discovered several years ago, and Ukraine finally has had a US company developing it. This deposit will make Ukraine amongst the biggest natural gas exporters in the world, directly rivaling Russia’s majority stake in supplying Europe with natural gas. THE OIL and GAS deposits are in the Ukrainian economic exclusion ZONE off the COAST OF CRIMEA, and. the lands of EASTERN UKRAINE!!!!  
Read more
1
REPLY"
122,"Joel L
3 days ago
Thank you and the crew for such a thorough, yet succinct, history. It was much needed.
4
REPLY"
123,"Preacherman Black Lion Entertainment
1 day ago
I Just subscribed after your proper articulated history lesson, I learned a lot more today than yesterday. Wish that every newsreader is like this.
REPLY"
124,"Clay Ridley
2 days ago
An informative, well put together news report. Amazing journalism.
REPLY"
125,"macedonga
1 hour ago
this was seriously the best short summary with as little bias as possible piece i ever seen. whoever worked on this deserves a trophy. this was as down the middle not ignoring one side as you could probably get. well done. i haven't seen media like this since i was a toddler
1
REPLY"
126,"El Raton
8 days ago
This has to be the best explanation of this conflict that I’ve found either on video or in news articles! I am so impressed that it took someone outside of America to explain this in such detail! I’m a fan!
696
REPLY"
127,"Leigh Deliva
3 days ago
""He doesn't realize the world has moved on."" Man, i loved that.
48
REPLY"
128,"JI
20 hours ago (edited)
Nice informative summary. What makes it different is that they are neighboring countries which have assisted each other. Can you be sure that there isn't a feeling of unresolved financial debt. There separation must be mutual and not impose any threat on Russia which is obviously not happening.
REPLY"
129,"cami
3 days ago
Most informative video I've seen about this conflict, thank you!
REPLY"
130,"Shokhrukh Urinov
10 hours ago
All journalists in the world should learn how to explain things like Palki.

The Legend Journalist Lady I've ever seen!
1
REPLY"
131,"B2butta4u
2 days ago
This was incredibly informative. Thank you !
REPLY"
132,"Larenda Manderson
6 days ago (edited)
Give this woman a raise! She has talent of summarising history in less than 10 mins and was able to make it sound interesting than my history teacher. Love her end quote, ""He does not realise the world has moved on."" 🤣
1.2K
REPLY"
133,"Monisha Gowda
1 day ago
Thank you very much for delivering such critical information in such a brief manner.
1
REPLY"
134,"mike von
3 days ago
THANKS FOR THIS EXPLANATION! I COULDN'T HAVE ASKED FOR MORE.
1
REPLY"
135,"Meera Wadher
2 days ago
glad to have found such a crisp & clear vid out here. very well explained! facts + stats were combined to create this amazing informative vid!!
9
REPLY"
136,"Purple Heart Virgo Channel
3 days ago (edited)
Thank you for this🙏💜🙏  great to learn the history of these 2 countries which are in present conflict. LET THERE BE PEACE SOONEST. PEACE TO THE WHOLE W🌍RLD🙏
REPLY"
137,"Chijanggi: Pilak Salon
3 days ago
Goosebumps when she said He doesn't realised the world has moved on...
REPLY"
138,"Mallika Barsaley
6 days ago
I loved how everything was explained in a very discreet and simplified manner. Loved the content 👍🏻
432
REPLY"
139,"Dave J-R
2 days ago
Thank you for an informed explanation of the current situation.
REPLY"
140,"Magesh Nagarajan
6 days ago
You just narrated ages of history within 10 mins in a simple manner & I was able to follow up.. This is really informative & now I know why Putin wants Ukraine
470
REPLY"
141,"Tony Garcia
23 hours ago
Thank you very much. I’ve studied Russian history, this was very good summary for people that don’t have two weeks.
REPLY"
142,"The Bless ReView!
3 days ago
Thank you for the history lesson, coz i myself was actually confused about whats really going on down there thank you!!!
REPLY"
143,"The Intellectual Prime
1 day ago (edited)
It is a comprehensive summary for the Ukraine-Russia conflict. However, Do not compare it with the Philippine-Spain history. Ukraine and Russia were basically one in history and once shared the same heritage and ancestry. Whereas Spain literally colonized, killed and enslaved Filipinos in history, we never shared the same blood in the beginning.
4
REPLY"
144,"Anna W
3 days ago
Done waaay too fast, I had to pause several times to process the information given, BUT it was super informative, to the point, and no drama in delivery, just facts. Great video!!
2
REPLY"
145,"Nithu Mohan
1 day ago
Such an awesome explanation..... I am in love with this beautiful bold reporter.... Palki❤️🔥🙂 current affairs and english language improvement.... Thats what Palki means to me..... 🙂❤️ Lots of love n support from Kerala... 🙂❤️
1
REPLY"
146,"Tyler let
7 days ago
Whoever did this research and wrote this up needs a raise. Excellent explanation.
520
REPLY"
147,"francocat3
3 days ago
Amazing!!! Learned more in 9 min than 9 years watching CNN about this situation. Thank YOU!!!
1
REPLY"
148,"Juan Hernandez
2 days ago
now I understand the gravity  of the situation  each contry has the own priorities  but in this case they like brothers it just is not the way to do it   very good explanation 👍 👌
3
REPLY"
149,"lady bug
2 days ago (edited)
I would suggest only one but very important correction... 9th-century country was called Rus, not Kievan Rus. ""Kievan"" was introduced only at the end of 18th century to identify a period when Kiev was a capital. This is an important fact for those who think that Ukrainians and Russians were two different nations from the get-go...
REPLY"
150,"J G
1 day ago
With the past videos of 'pro Russian' sentiment, I was concerned how this reporting would be. I'm glad to see what appears to be a good balance. I REALLY like this channel.
REPLY"
151,"Wayne Groves
1 day ago
Very well presented; I'm impressed.  I had no idea of the history, but I'm American after all.
1
REPLY"
152,"Lewis Lindsey
11 days ago
Very, very well done! Not one, single US media outlet has ever presented such a concise, distillation of the Ukrainian/Russian situation - never!
809
REPLY"
153,"Jessopedia
3 days ago
The most clear and simple way... explaining this topic...journalism needn't be always about tough vocabulary 👍👍
REPLY"
154,"Kahler
2 days ago (edited)
Рад что в мире остались беспристрастные новостные агенства. Спасибо за трезвый подход к анализу ситуации.
I am glad that there are impartial news agencies in the world. Thank you for a sober approach to analyzing the situation
REPLY"
155,"Carol Knapp
2 days ago
This video was informative but reading some comments added another perspective.  Nothing this complex can be fully explained in ten minutes.
4
REPLY"
156,"77Molot
1 day ago (edited)
I'm russian
The only reason for which Putin invaded Ukraine is to keep the throne. The joining of the Crimea was perceived positively by russian society. Of course, finally Russia arrived as well as the United States, that is, as a strong country. He hoped that the war with Ukraine would also be supported, but he was mistaken. Russian society has negatively reacted to this context war, so now the repressive apparatus against citizens is unwinding in Russia. 
Read more
1
REPLY"
157,"boxes247
2 days ago
The best history lesson! This should be streamed in schools.
REPLY"
158,"oksana kubushyna
8 days ago (edited)
This was such a great review of history and current situation, not sensationalist but balanced and highlighting the complexity of the situation. Well done and thank you!
504
REPLY"
159,"Dineo Mokgosi
3 days ago
Now everything makes perfect sense. What a Journalist! 👏🏾👏🏾👏🏾
2
REPLY"
160,"Rakhi Dhiman
8 days ago (edited)
The most important statement - "" Past imperialism cannot justify present day expansionism ""
382
REPLY"
161,"Tracy Love
1 day ago
Thank you. Your report was very thorough and concise. I appreciate the synopsis.
REPLY"
162,"Daniel T
3 days ago (edited)
Thank you Ms. Palki for the explanation. Greatly appreciated 🙏  with love, from 🇺🇸.
1
REPLY"
163,"GRUFF
22 hours ago
The best explanation to date,and with your last sentence you hit the nail on the head.
REPLY"
164,"Brian Crockett
3 days ago
Thank you for the context, this was the most objective thing I've found so far. Kudos
REPLY"
165,"henry kleyn
1 day ago
That was very informative, thanks for the great and to the point factual content.
God bless you.
REPLY"
166,"Shandrea Evans
8 days ago
“Putin wants to be the man who revived Russian imperialism. He does not realize the world has moved on.” drops mic what a thorough, elegant explanation of this situation and it’s historical context.
816
REPLY"
167,"Stephen Drønen
20 hours ago
That was wonderfully accurate.  Nicely done!
1
REPLY"
168,"Andrew McKenley
2 days ago
Very well done. Great presentation. Very clear, concise and straight forward.
REPLY"
169,"Bea Jiann Quirante
3 days ago
“He does not realize the world has moved on” he needs to hear this
REPLY"
170,"Adrian Hetmanski
2 days ago
Ukraine was also a part of the Polish-Lithuanian Common wealth for 3 centuries, so we share many ancestors & relatives, and along with the Chech, Slovacks, Romanians & Hungarians share a bonds centuries old. People should unite and not be divided by tyrants & deranged leaders.
1
REPLY"
171,"Jimmy Williams
2 days ago
I listen to this channel constantly. Real, intelligent news. No BS. Well done as usual.
REPLY"
172,"Kevin nobody
8 days ago
As an American who only gets garbage reporting on this issue from American media, I thank you for this in depth and historical account of what's happening.
God bless the Ukrainian people.
I hope they are able to come out of this on top and free.
2.9K
REPLY"
173,"Mussie Araia
3 days ago
Excellent brief history, it is always good to know full background of any conflict.
REPLY"
174,"David Winter
3 days ago
The best News I have ever heard for a long time. Facts, guts and logic. I am definetely going to be supporting this news channel. The world have move on!
1
REPLY"
175,"coleen van staden
2 days ago
Thank you for an excellent overview of the history and current situation regarding the Ukraine and Russia.   Coleen, Cape Town, South Africa.
REPLY"
